Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Algeria,"435,982","426,957","370,461","520,436","580,602","388,438","292,024","315,207","256,268","224,581","252,397","229,958","269,798","201,192","287,948","187,831","230,182","519,278","365,231","171,372","184,530","169,060","216,674","291,813","228,005","136,193"
Libya,0,6,0,0,0,0,0,0,0,0,"17,916","9,008","18,264",208,"12,650","3,139","33,832","75,446","42,990","41,482","108,049","195,970","125,940","172,987","104,379","129,301"
Angola,"14,945","16,633","10,264","13,666","37,143","32,858","28,310","28,148","28,111","23,322","54,603","28,042","46,451","65,325","58,179","75,478","80,081","95,605","143,556","79,021","173,834","227,127","264,876","271,031","298,043","128,040"
Norway(*),"93,208","98,247","93,131","87,220","119,384","108,607","127,691","81,120","73,614","65,371","59,853","63,252","54,747","59,762","61,274","81,476","71,485","92,308","95,257","66,985","72,774","82,440","90,117","116,163","101,726","114,857"
Yemen(*),"57,052","67,288","118,587","163,833","132,128","132,750","114,468","65,062","76,331","94,502","102,261","97,015","104,754","85,593","135,313","92,675","121,168","305,738","184,598","162,027","120,491","200,357","147,747","156,515","101,432","102,151"
Barbados,"27,828","32,845","24,041","26,214","29,421","37,440","51,926","48,890","42,099","44,826","41,122","49,234","39,753","36,478","42,663","47,808","47,412","57,841","83,550","77,914","74,864","88,614","87,004","91,603","96,932","94,046"
Ethiopia(*),"61,754","59,807","65,568","70,660","86,054","61,273","35,712","18,197","30,464","28,333","113,990","26,374","10,629","154,500","115,040","159,994","62,839","93,549","168,873","96,872","153,931","107,546","97,781","69,778","84,060","93,405"
Bermuda,"63,553","66,025","63,994","62,425","62,904","64,800","69,531","66,610","66,868","60,782","60,384","51,950","51,159","51,466","53,325","60,645","76,403","89,414","105,720","104,778","95,539","96,830","89,215","90,729","92,628","92,901"
Lebanon,"27,009","39,546","50,530","84,373","48,577","114,829","133,944","98,802","69,074","76,888","81,536","80,817","65,305","71,205","85,825","62,565","58,926","77,937","110,363","98,212","122,089","140,654","103,156","96,553","107,129","90,450"
Finland,"41,831","47,009","49,488","45,476","78,383","79,625","129,928","129,918","73,297","80,786","61,455","59,929","46,235","53,695","55,205","49,907","43,478","46,934","52,491","42,594","42,877","47,078","43,791","102,154","113,168","87,210"
Ghana,"21,362","13,896","25,970","44,428","35,751","45,565","64,360","51,358","46,033","50,964","37,671","40,648","47,433","54,711","77,033","82,865","58,078","76,422","77,709","51,529","71,736","115,123","176,641","183,039","129,415","75,560"
Uruguay,"5,952","7,285","4,319","7,223","11,506","15,596","17,159","14,631","12,346","12,275","16,268","23,009","16,808","17,996","17,815","16,282","17,387","30,570","33,846","32,973","37,755","52,484","58,838","83,742","78,400","74,316"
Greece,"128,830","109,621","117,444","100,381","113,008","127,900","137,884","147,637","117,767","88,652","75,207","99,657","99,673","108,164","105,843","143,654","117,136","147,465","122,870","107,804","119,614","79,837","66,470","86,487","89,791","74,185"
Qatar,"3,554","5,279","5,361","6,484","6,447","8,555","6,217","7,483","10,006","9,485","8,569","9,673","15,183","12,810","10,199","13,764","16,353","19,780","30,801","36,597","45,179","59,644","67,256","75,570","84,039","72,771"
